Files,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19, Class
BellyPain05,2480.2631578947367, 2297.222222222222, 2384.7953216374267, 2303.801169590643, 2497.5146198830407, 2242.9824561403507, 2368.4210526315787, 2494.152046783626, 2467.836257309941, 2402.33918128655, 2311.988304093567, 2477.777777777778, 2296.345029239766, 2353.362573099415, 2365.93567251462, 2451.461988304093, 2309.3567251461986, 2327.0467836257308, 2304.3859649122805, 2343.4210526315787,0
BellyPain06,1219.648093841642, 1219.5014662756596, 1219.3548387096773, 1217.3020527859237, 1220.0879765395894, 1213.9296187683283, 1214.5161290322578, 2421.114369501466, 2421.2609970674484, 1213.7829912023458, 1219.9413489736069, 1217.448680351906, 405.86510263929614, 1217.5953079178885, 1212.1700879765394, 1217.1554252199412, 1219.7947214076244, 405.71847507331375, 1099.2668621700877, 406.30498533724335,0
BellyPain08,1301.169590643275, 1298.391812865497, 841.812865497076, 1298.830409356725, 1326.169590643275, 1312.1345029239765, 829.093567251462, 1293.7134502923975, 843.1286549707602, 1325.1461988304093, 858.187134502924, 1295.6140350877192, 823.6842105263157, 837.280701754386, 832.7485380116958, 860.0877192982456, 1300.2923976608186, 1247.076023391813, 838.7426900584795, 1373.391812865497,0
Cold_Hot08,2177.33918128655, 2177.6315789473683, 2176.9005847953217, 2176.4619883040937, 2177.1929824561403, 2176.754385964912, 2177.0467836257308, 2177.777777777778, 2177.923976608187, 2178.0701754385964, 2177.485380116959, 2176.315789473684, 2178.362573099415, 2178.654970760234, 1515.204678362573, 2175.7309941520466, 2176.1695906432747, 2178.216374269006, 2176.6081871345027, 2176.023391812865,0
Cold_Hot09,827.927927927928, 828.5285285285286, 859.6096096096096, 865.4654654654655, 904.2042042042042, 827.1771771771772, 834.8348348348349, 859.4594594594595, 828.6786786786787, 847.1471471471472, 853.9039039039039, 859.7597597597597, 875.8258258258259, 839.4894894894895, 860.3603603603603, 901.2012012012012, 853.7537537537538, 896.8468468468469, 827.0270270270271, 896.2462462462463,0
Hunger01,955.1575931232092, 957.1633237822349, 965.9025787965616, 898.567335243553, 959.1690544412606, 933.2378223495701, 954.297994269341, 961.4613180515759, 963.8968481375358, 953.1518624641833, 898.8538681948423, 959.5988538681947, 900.4297994269341, 954.8710601719197, 955.4441260744985, 962.0343839541547, 939.1117478510029, 964.8997134670486, 933.5243553008595, 946.8481375358166,0
Hunger02,928.1159420289855, 928.2608695652174, 931.5942028985507, 919.7101449275362, 933.3333333333334, 919.5652173913044, 929.8550724637681, 941.7391304347826, 946.5217391304349, 925.5072463768116, 922.0289855072464, 931.7391304347826, 939.2753623188406, 919.8550724637681, 936.8115942028986, 920.7246376811595, 922.1739130434783, 945.072463768116, 944.2028985507246, 944.9275362318841,0
Hunger03,1264.6974063400576, 1264.985590778098, 1261.671469740634, 1259.942363112392, 1261.9596541786743, 1260.2305475504322, 1280.9798270893373, 1287.3198847262247, 1264.4092219020174, 1288.328530259366, 1265.706051873199, 1265.2737752161383, 1287.0317002881845, 1283.7175792507205, 1282.7089337175792, 1261.3832853025938, 1279.971181556196, 1294.8126801152737, 1305.6195965417867, 1294.5244956772335,0
Hunger06,864.2028985507246, 865.5072463768116, 863.9130434782609, 862.608695652174, 812.1739130434783, 865.7971014492754, 803.0434782608696, 867.1014492753624, 860.4347826086956, 860.1449275362319, 809.4202898550725, 813.768115942029, 859.1304347826087, 809.8550724637681, 810.5797101449276, 805.7971014492754, 858.6956521739131, 858.840579710145, 866.8115942028986, 865.6521739130435,0
Hunger07,554.0816326530611, 553.6443148688046, 554.3731778425655, 569.8250728862973, 567.3469387755101, 573.6151603498541, 569.9708454810495, 830.0291545189503, 830.1749271137026, 579.5918367346937, 567.4927113702623, 829.8833819241981, 559.6209912536442, 567.6384839650145, 830.4664723032068, 813.8483965014576, 555.1020408163265, 829.737609329446, 568.9504373177841, 569.3877551020407,0
Hunger09,800.2881844380404, 845.3890489913545, 845.6772334293948, 846.3976945244957, 846.5417867435159, 836.599423631124, 798.5590778097983, 845.5331412103747, 792.0749279538906, 798.1268011527378, 844.2363112391931, 846.685878962536, 796.5417867435159, 844.3804034582133, 1714.8414985590778, 795.6772334293948, 779.971181556196, 1715.2737752161383, 781.1239193083574, 778.5302593659942,0
Hunger14,1379.203539823009, 1383.0383480825958, 1379.3510324483775, 1383.1858407079646, 1380.3834808259587, 1382.0058997050148, 1379.05604719764, 1381.858407079646, 1385.6932153392331, 1382.8908554572272, 1382.7433628318583, 1381.7109144542774, 1378.9085545722714, 1379.646017699115, 1380.5309734513273, 1371.2389380530974, 1389.52802359882, 1385.8407079646017, 1385.3982300884957, 1371.0914454277286,0
